"","X","loc","Number","Longitude","Latitude","hs1985","hs1986","hs1987","hs1988","hs1989","hs1990","hs1991","hs1992","hs1993","hs1994","hs1995","hs1996","hs1997","hs1998","hs1999","hs2000","hs2001","hs2002","hs2003","hs2004","hs2005","hs2006","hs2007","hs2008","hs2009","hs2010","hs2011","hs2012","hs2013","hs2014","hs2015","hs2016","hs2017","hs2018","hs2019","hs.means","hs.freqs"
"312",312,"82_-19.527_148.98",82,148.98,-19.527,1.18696539080666,1.1833970083536,2.4142119222775,0.87123917149238,1.2470006514461,1.23696774179706,0.701597897135507,1.23356060231268,1.08577529913026,1.5124457303197,1.83099894859839,1.36116255418038,0.504317054587228,0.88448741989254,0.940598902269012,0.167363127719873,1.04247560226584,1.35012359870529,0.306801815399521,1.41716424272298,0.855679866582654,0.895601603544708,0.330039958820453,0.850196485950253,0.895394019914347,1.02316054078412,0.909559947240959,1.0699623619951,0.797478015945276,0.391597904064547,1.16243936367766,1.32675877797247,1.31196033563483,0.580002339143977,0.239001005133505,1.00335677736621,18
"313",313,"82_-19.559_149.6",82,149.6,-19.559,1.2046048474594,1.66600484372564,1.86239999855048,1.18799672294652,1.0705944531618,1.14319649876661,0.66920031759988,1.47480092281402,0.488400346944489,1.43639236714996,1.3754040877412,1.08099798007518,0.614597392582737,1.24039495863144,1.03319788120466,0.478588455935709,1.46139881997455,1.26140020442425,0.831193985837856,1.67739848344704,0.968191655313543,1.1250009895351,0.574400013322706,1.22119397712068,1.48979511847762,1.28299708612166,1.05999338366462,1.16639462858594,0.990598432458306,0.639596377343139,1.00639578610217,1.26699829360047,1.26839844497307,0.755792773822652,0.33679802945023,1.09744881596758,24
"314",314,"82_-20.09_150.321",82,150.321,-20.09,0.901000456847685,1.81180145606079,1.99271885835663,0.919239813796324,1.07019875208526,1.23900017672902,0.864036145591516,0.770925608310006,0.252320663835965,1.22751159412989,1.60411621463188,1.04219902527489,0.573999850888213,1.17995843830239,0.858560416487442,-0.190204005892041,1.45075945182061,1.24876509931857,0.427157162993938,1.23711859463093,0.7766380368466,0.945596647587204,0.750677078231162,1.31795292851683,1.62475407751228,1.01895864632385,0.922958512187734,1.01859671409647,0.854596854044044,0.361917193827339,0.916674280320435,1.27959126970259,1.5257545567117,0.796994679907474,0.474356551213525,1.00192005146369,17
"315",315,"82_-20.781_150.901",82,150.901,-20.781,1.11663045280368,1.55382687912386,2.01954803319109,0.661775470786934,0.744801748423755,1.39919710966445,1.26079661936528,1.60582285442625,0.264801017586254,1.07120699962245,1.52657795809482,1.36377217312703,0.765775857605366,1.36759982846243,0.851200051458862,-0.0164052581277373,0.863998886698435,2.50342121026133,0.54755208962817,1.36885933754589,0.940623892799627,1.2743490733526,0.866796980595189,1.14096861419936,1.23834798016761,1.2960010650218,0.99839574269471,1.1737783888885,0.758607400771414,0.41257286546968,1.06172844624989,1.54874045627133,1.41497298403362,0.7861738101394,0.39600108513837,1.08996623158691,20
"316",316,"82_-21.484_152.559",82,152.559,-21.484,0.857996279034382,1.6184241185901,2.04540017288902,0.722230128518009,0.84470216744342,1.40043004048997,1.38564873035561,1.58702094217108,0.237269515060379,1.21679893805181,1.12082472724838,1.54780078154729,1.60308648349481,1.38301725952634,0.956619630034667,-0.189347911581348,0.96042783508537,1.98334934344746,0.429201768431454,1.46744880139633,0.819177444628607,1.2447974508775,0.822196950239714,1.35409823520744,1.42621607807197,1.20679893827533,0.973744046522637,0.907448813913308,0.814646892224547,0.409173023314095,1.18924445000495,0.870867431397133,1.34304822122417,0.694571020302815,0.509971243036218,1.07898142829928,18
"317",317,"82_-21.56_152.544",82,152.544,-21.56,0.938877745254167,1.68445852373445,2.08231863363628,0.753664459925083,0.740898654369121,1.41834583801543,1.40513977667111,1.62087743750281,0.22765397893987,1.22079901119101,1.08465898677494,1.4912006356836,1.45356473103444,1.30293320542803,0.920653890323247,-0.101256720077346,0.941943633112367,2.00513976326006,0.38840191436255,1.49779907812644,0.880402342126692,1.35039737775772,0.825737647197142,1.31662006382107,1.30139118183258,1.19679886547372,0.973793989721376,0.940458394110413,0.862397096157909,0.394938618348255,1.15765395815275,0.89025226046624,1.24382058820906,0.72019621094121,0.566218450057319,1.07711857776118,18
"318",318,"82_-21.671_152.447",82,152.447,-21.671,0.987294213559992,1.80765043664436,2.06524193844898,0.84645119810638,0.571905825092526,1.47200196157676,1.46355310673491,1.65985509827241,0.248005164411462,1.25715215086073,1.04075681112886,1.37950447903691,0.783926316608087,1.30284934043323,0.828797913492999,-0.00830679817755279,1.03729856891622,2.07205220470302,0.315599478422314,1.50484697392288,0.935646913142142,1.45039930110686,0.809551940355306,1.35760299812474,1.11555075251803,1.23454535155618,0.954047059737577,0.981999164569712,0.88075400674574,0.400754017474576,1.03679872232471,1.04040366674489,1.27555510541556,0.722791932426711,0.657152164271773,1.07114255653457,19
"319",319,"82_-21.716_152.55",82,152.55,-21.716,1.18929612299323,1.85100202381295,2.17139699470876,0.774105006736738,0.521300579005137,1.39320219462407,1.49280026125726,1.659105649172,0.189993787615898,1.28869938053821,0.965900790035508,1.29400233439256,1.09518201683086,1.33779885755924,0.875896653288984,0.0469015513296786,1.0183047809978,2.01500098965079,0.270398738298588,1.54729782028354,0.939100202073969,1.50370003794914,0.83499894664675,1.28360189337642,1.15679679641888,1.25689945490498,1.07728992574549,0.979101898085995,0.890897687643253,0.370900141118243,1.09129021936919,1.08290255866975,1.22500477359385,0.858695251391279,0.691399097168431,1.09257615477964,21
"320",320,"82_-21.73_152.429",82,152.429,-21.73,1.08783603318565,1.8345981123662,2.04663409344431,0.849523327523472,0.56952333378196,1.47652309239852,1.49312139280713,1.73988219571058,0.255925261122231,1.29392036339074,1.03692531736899,1.33740196414101,0.617221733784561,1.33300019131554,0.813518158983874,-0.0167242325999151,1.10132236172992,2.07472403919309,0.268121051670661,1.48351814400821,0.908718895910961,1.49171910399031,0.811920226757341,1.35564422646748,1.08971896556877,1.27112125036227,0.940517935034793,1.00384046737276,0.900443497587019,0.408523263677121,1.02276049074463,1.14360351826592,1.32880425318135,0.707110776873194,0.671719122318733,1.07864805512684,21
"321",321,"82_-21.91_152.527",82,152.527,-21.91,1.34639878674408,1.96427938351429,2.13103725665057,0.835803159233056,0.519561117479219,1.38979767692647,1.57400011344634,1.93161193120636,0.280436783679095,1.24092246528302,0.919558314087031,1.31292290955765,0.512073853980257,1.43467836081822,0.986077559253638,0.0165185031442792,0.935682727185585,1.8990858775357,0.228476244397802,1.62559597415879,0.809518411105356,1.4113613323811,0.785880147131167,1.1683215066862,1.0675956893751,1.31819694124927,0.898311018757687,0.961124763546116,0.879404341420054,0.314316501734822,1.03592284143509,1.31567858642005,1.26460625324928,0.76811434821051,0.64679776784781,1.07799055568089,18
