,Name.long,Name.lat,BO2_tempmean_ss,BO2_ppmean_ss
272,119.17,-17.33,27.98888016,0.001987078
273,115.5,-20.45,26.23716736,0.004739702
274,116.53,-20.56,26.29708481,0.007030232
275,113.69,-22.74,NA,NA
276,143.042,-11.462,27.07481956,0.009725553
277,144,-11.783,27.02045822,0.002291313
278,143.785,-12.5,26.8205204,0.004745631
279,143.511,-12.585,26.72735405,0.009865538
280,143.972,-13.436,26.66712379,0.004634603
281,143.58,-13.779,26.68230057,0.010344471
282,143.641,-13.779,26.68118477,0.010398779
283,144.502,-13.972,26.62418938,0.00419678
284,145.538,-14.519,26.65767097,0.003153093
285,145.617,-14.616,26.66044807,0.00294454
286,145.636,-14.618,26.66044807,0.00294454
287,145.654,-14.633,26.66044807,0.00294454
288,145.636,-14.639,26.66044807,0.00294454
289,145.57,-14.669,26.59915161,0.004722266
290,145.457,-14.705,26.45071793,0.005086915
291,145.512,-14.742,26.59915161,0.004722266
292,145.528,-14.82,26.51259232,0.005591135
293,145.555,-14.823,26.51259232,0.005591135
294,150.314,-16.49,26.88528442,0.000865663
295,147.016,-18.205,26.33967209,0.004835954
296,147.389,-18.267,26.36911201,0.003122375
297,146.819,-18.353,26.004282,0.01055498
298,147.454,-18.41,26.3668251,0.00357377
299,146.995,-18.441,26.06354523,0.007300523
300,146.873,-18.479,26.04189491,0.008625775
301,146.488,-18.553,25.75298691,0.018535426
302,146.497,-18.58,25.75298691,0.018535426
303,146.48,-18.581,25.75298691,0.018535426
304,146.486,-18.594,25.74167442,0.019847821
305,146.49,-18.599,25.74167442,0.019847821
306,146.483,-18.612,25.74167442,0.019847821
307,147.055,-18.632,25.96698189,0.007271135
308,147.711,-18.66,26.22631264,0.004064959
309,147.721,-18.748,26.17058754,0.004339966
310,147.529,-18.798,26.00932884,0.005312867
311,147.645,-18.822,26.03728867,0.005503108
312,148.98,-19.527,25.66802406,0.00452192
313,149.6,-19.559,25.82923698,0.003332681
314,150.321,-20.09,25.57533073,0.003195447
315,150.901,-20.781,25.4372139,0.004319951
316,152.559,-21.484,25.49833488,0.004278143
317,152.544,-21.56,25.36378288,0.004218228
318,152.447,-21.671,25.27446556,0.004574541
319,152.55,-21.716,25.28938103,0.004421324
320,152.429,-21.73,25.27446556,0.004574541
321,152.527,-21.91,25.12685394,0.004560606
322,152.646,-22.013,25.03865242,0.004665344
323,150.935,-23.174,23.7240963,0.017202759
324,151.945,-23.435,24.17632294,0.007587162
325,151.913,-23.448,24.12170219,0.008070908
326,151.896,-23.451,24.12170219,0.008070908
327,151.923,-23.454,24.17632294,0.007587162
328,151.849,-23.467,24.12170219,0.008070908
329,152.077,-23.482,24.34248543,0.007473093
330,124.008,24.205,26.27770424,0.005167054
331,123.91,24.225,26.32774925,0.005076246
332,123.968,24.28,26.25842476,0.005205266
333,124.061,24.293,26.22172928,0.005195444
334,124.132,24.296,26.20251274,0.00507297
335,124.045,24.354,26.20942497,0.005377457
336,124.1,24.455,26.18893242,0.005441193
337,124.322,24.612,26.18486977,0.005820779
338,125.447,24.747,26.02781105,0.006130717
339,125.161,24.867,25.92442513,0.006765419
340,127.743,26.095,25.28254509,0.005222337
341,127.275,26.19,25.35884857,0.005834209
342,127.292,26.194,25.35884857,0.005834209
343,127.778,26.449,25.02858734,0.00639062
344,128.208,26.804,24.80024338,0.006020536
345,129.445,28.244,24.48976326,0.007046561
346,129.303,28.333,24.47247887,0.006595368
347,129.652,28.502,24.56016731,0.006738328
348,130.94,30.66,NA,NA
349,-171.14,-4.27,28.66348648,0.00804056
350,144.47,13.25,28.96348953,0.00085938
351,162.53,5.18,29.30088234,0.002567599
352,157.59,6.45,29.27076721,0.001201007
353,171.02,7.07,28.77266312,0.006257925
354,151.33,7.19,29.3073616,0.001014395
355,171.33,7.2,28.72218132,0.007816905
356,134.29,7.31,29.20599174,0.002057614
357,137.29,8.18,29.25169945,0.001419196
358,138.02,9.26,29.17190361,0.000998942
359,167.18,9.6,28.54753494,0.00395176
360,134.642,7.43,29.21059227,0.001873801
361,134.4011,7.531,29.18284607,0.00197606
362,134.5361,8.0014,29.16905975,0.001684337
363,153.39,-29.93,22.64738655,0.020556878
364,153.27,-30.02,22.61540604,0.023458257
365,153.22,-30.16,22.55248451,0.022814283
366,159.04,-31.52,21.58298492,0.006215712
367,159.07,-31.52,21.58298492,0.006215712
368,159.1,-31.55,21.5675087,0.006100226
